0,1,2,3,4,5,6,7,8,9,10
chicken,cake bar,,,,,,,,,
butter,newspapers,,,,,,,,,
chicken,UHT-milk,,,,,,,,,
rolls/buns,make up remover,,,,,,,,,
soft cheese,napkins,,,,,,,,,
chewing gum,root vegetables,frozen vegetables,,,,,,,,
yogurt,spread cheese,soda,fruit/vegetable juice,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
white bread,mayonnaise,,,,,,,,,
coffee,yogurt,,,,,,,,,
sliced cheese,shopping bags,,,,,,,,,
soda,berries,,,,,,,,,
oil,margarine,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
whole milk,hygiene articles,,,,,,,,,
sausage,whipped/sour cream,,,,,,,,,
fish,bottled beer,,,,,,,,,
soda,bottled water,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
bottled beer,herbs,,,,,,,,,
other vegetables,cake bar,,,,,,,,,
liver loaf,frozen meals,yogurt,domestic eggs,flower (seeds),coffee,,,,,
whole milk,hard cheese,,,,,,,,,
white bread,salty snack,,,,,,,,,
rolls/buns,cream cheese ,,,,,,,,,
finished products,bottled beer,,,,,,,,,
other vegetables,cream cheese ,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
soda,rolls/buns,shopping bags,,,,,,,,
cream cheese ,baking powder,,,,,,,,,
herbs,pip fruit,,,,,,,,,
pip fruit,butter milk,,,,,,,,,
onions,hamburger meat,whole milk,tropical fruit,pet care,root vegetables,yogurt,flour,,,
rolls/buns,semi-finished bread,fruit/vegetable juice,,,,,,,,
sausage,shopping bags,,,,,,,,,
soda,pip fruit,,,,,,,,,
butter,other vegetables,,,,,,,,,
curd cheese,newspapers,UHT-milk,,,,,,,,
chicken,butter,rolls/buns,shopping bags,soda,,,,,,
whole milk,whipped/sour cream,whole milk,yogurt,whipped/sour cream,,,,,,
whole milk,salty snack,margarine,,,,,,,,
chicken,shopping bags,other vegetables,whole milk,,,,,,,
sausage,candy,,,,,,,,,
salad dressing,hard cheese,,,,,,,,,
sugar,brown bread,,,,,,,,,
sausage,white bread,,,,,,,,,
citrus fruit,pastry,dish cleaner,,,,,,,,
whole milk,other vegetables,,,,,,,,,
beverages,shopping bags,,,,,,,,,
sausage,soda,,,,,,,,,
pot plants,citrus fruit,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
tropical fruit,chicken,,,,,,,,,
whole milk,sausage,yogurt,other vegetables,misc. beverages,,,,,,
pastry,red/blush wine,,,,,,,,,
yogurt,tea,,,,,,,,,
chicken,oil,chocolate,candy,,,,,,,
berries,margarine,,,,,,,,,
yogurt,frozen dessert,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
pip fruit,UHT-milk,,,,,,,,,
yogurt,sweet spreads,canned beer,pot plants,,,,,,,
sausage,specialty cheese,,,,,,,,,
flour,baking powder,,,,,,,,,
cocoa drinks,sliced cheese,,,,,,,,,
soda,roll products ,seasonal products,,,,,,,,
canned beer,misc. beverages,liqueur,,,,,,,,
sausage,cat food,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
whipped/sour cream,house keeping products,,,,,,,,,
ice cream,UHT-milk,,,,,,,,,
citrus fruit,hamburger meat,,,,,,,,,
whipped/sour cream,toilet cleaner,,,,,,,,,
yogurt,pet care,,,,,,,,,
meat,tropical fruit,whipped/sour cream,,,,,,,,
yogurt,hygiene articles,,,,,,,,,
whole milk,newspapers,,,,,,,,,
citrus fruit,pot plants,,,,,,,,,
newspapers,soups,,,,,,,,,
whole milk,root vegetables,margarine,,,,,,,,
pork,liquor,,,,,,,,,
meat,salt,,,,,,,,,
beef,citrus fruit,pastry,,,,,,,,
coffee,domestic eggs,,,,,,,,,
misc. beverages,dessert,spread cheese,onions,coffee,,,,,,
pip fruit,white bread,sliced cheese,,,,,,,,
bottled water,bottled beer,,,,,,,,,
frozen meals,other vegetables,,,,,,,,,
condensed milk,butter,,,,,,,,,
beef,sparkling wine,frozen fish,chewing gum,,,,,,,
beef,tropical fruit,,,,,,,,,
bottled beer,salty snack,napkins,,,,,,,,
tropical fruit,root vegetables,Instant food products,,,,,,,,
soda,pip fruit,,,,,,,,,
fruit/vegetable juice,whole milk,,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
hamburger meat,margarine,,,,,,,,,
root vegetables,soda,other vegetables,,,,,,,,
rolls/buns,tropical fruit,salt,butter,whole milk,canned vegetables,domestic eggs,,,,
soda,brown bread,rolls/buns,sliced cheese,,,,,,,
candy,rolls/buns,coffee,yogurt,,,,,,,
canned beer,other vegetables,yogurt,,,,,,,,
newspapers,other vegetables,shopping bags,,,,,,,,
whole milk,soda,,,,,,,,,
pastry,sauces,,,,,,,,,
onions,chocolate,,,,,,,,,
brown bread,whole milk,light bulbs,,,,,,,,
whole milk,seasonal products,,,,,,,,,
pickled vegetables,soda,,,,,,,,,
sausage,tropical fruit,,,,,,,,,
beef,finished products,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
white bread,beef,coffee,flour,,,,,,,
candy,chewing gum,,,,,,,,,
shopping bags,other vegetables,,,,,,,,,
citrus fruit,baking powder,,,,,,,,,
pork,frozen meals,,,,,,,,,
beef,root vegetables,,,,,,,,,
root vegetables,salty snack,,,,,,,,,
long life bakery product,root vegetables,,,,,,,,,
pork,curd,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
root vegetables,other vegetables,white wine,,,,,,,,
domestic eggs,yogurt,canned beer,,,,,,,,
whole milk,bottled beer,,,,,,,,,
detergent,cocoa drinks,,,,,,,,,
root vegetables,frankfurter,other vegetables,mayonnaise,,,,,,,
other vegetables,frankfurter,rolls/buns,other vegetables,shopping bags,,,,,,
sausage,domestic eggs,,,,,,,,,
pip fruit,pastry,rolls/buns,chocolate,soda,,,,,,
white bread,bottled water,,,,,,,,,
oil,soda,,,,,,,,,
beverages,whipped/sour cream,,,,,,,,,
pip fruit,whole milk,coffee,salty snack,,,,,,,
shopping bags,white wine,,,,,,,,,
salt,root vegetables,,,,,,,,,
pip fruit,whole milk,soda,,,,,,,,
finished products,cream cheese ,,,,,,,,,
dessert,other vegetables,,,,,,,,,
whole milk,frozen meals,,,,,,,,,
turkey,yogurt,,,,,,,,,
onions,waffles,,,,,,,,,
fish,newspapers,,,,,,,,,
meat,butter,,,,,,,,,
citrus fruit,soda,white bread,,,,,,,,
brown bread,brown bread,,,,,,,,,
canned beer,rolls/buns,other vegetables,brown bread,butter milk,whole milk,,,,,
pastry,frozen potato products,,,,,,,,,
hamburger meat,newspapers,,,,,,,,,
soda,other vegetables,,,,,,,,,
yogurt,soda,,,,,,,,,
soft cheese,frozen vegetables,cream cheese ,,,,,,,,
other vegetables,white bread,,,,,,,,,
whole milk,yogurt,,,,,,,,,
whole milk,bottled beer,rolls/buns,,,,,,,,
bottled beer,tropical fruit,sliced cheese,dishes,,,,,,,
ham,cream cheese ,,,,,,,,,
whole milk,pasta,,,,,,,,,
pip fruit,yogurt,flour,rolls/buns,,,,,,,
other vegetables,bottled beer,cleaner,,,,,,,,
other vegetables,UHT-milk,curd,,,,,,,,
shopping bags,rubbing alcohol,,,,,,,,,
bottled water,frozen vegetables,,,,,,,,,
sugar,flour,,,,,,,,,
rolls/buns,soda,,,,,,,,,
other vegetables,margarine,,,,,,,,,
rolls/buns,soda,,,,,,,,,
beef,shopping bags,,,,,,,,,
whole milk,whole milk,,,,,,,,,
misc. beverages,bottled water,,,,,,,,,
whipped/sour cream,cat food,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
root vegetables,cream cheese ,,,,,,,,,
pork,other vegetables,,,,,,,,,
UHT-milk,tea,,,,,,,,,
chicken,rolls/buns,newspapers,,,,,,,,
pip fruit,beverages,zwieback,,,,,,,,
misc. beverages,salt,,,,,,,,,
whole milk,grapes,,,,,,,,,
white bread,red/blush wine,,,,,,,,,
root vegetables,cling film/bags,,,,,,,,,
beef,whole milk,frozen vegetables,,,,,,,,
whole milk,pastry,salty snack,,,,,,,,
liquor (appetizer),coffee,bottled beer,,,,,,,,
root vegetables,processed cheese,,,,,,,,,
frankfurter,soda,napkins,,,,,,,,
dessert,zwieback,,,,,,,,,
yogurt,napkins,rolls/buns,liquor (appetizer),,,,,,,
tropical fruit,other vegetables,,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
whole milk,beef,whipped/sour cream,whole milk,curd cheese,,,,,,
soda,tropical fruit,,,,,,,,,
frankfurter,chicken,butter,bottled water,,,,,,,
soda,sausage,root vegetables,pork,whole milk,vinegar,other vegetables,domestic eggs,shopping bags,,
bottled water,whipped/sour cream,,,,,,,,,
whole milk,onions,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
instant coffee,newspapers,,,,,,,,,
butter,shopping bags,,,,,,,,,
chicken,ice cream,,,,,,,,,
fruit/vegetable juice,frozen vegetables,,,,,,,,,
sweet spreads,herbs,long life bakery product,,,,,,,,
beef,house keeping products,,,,,,,,,
sausage,soda,rolls/buns,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
yogurt,detergent,,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
canned beer,sugar,rum,,,,,,,,
pastry,dish cleaner,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
long life bakery product,chocolate,,,,,,,,,
zwieback,onions,female sanitary products,,,,,,,,
ham,rolls/buns,,,,,,,,,
frankfurter,ham,white wine,detergent,popcorn,,,,,,
grapes,packaged fruit/vegetables,detergent,,,,,,,,
soda,sliced cheese,,,,,,,,,
curd,red/blush wine,,,,,,,,,
whipped/sour cream,pastry,napkins,,,,,,,,
butter,mayonnaise,,,,,,,,,
pastry,root vegetables,,,,,,,,,
whole milk,flower (seeds),,,,,,,,,
yogurt,sliced cheese,whipped/sour cream,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
sausage,pork,brown bread,waffles,whole milk,flower (seeds),oil,,,,
packaged fruit/vegetables,flour,,,,,,,,,
sausage,rolls/buns,rolls/buns,rolls/buns,,,,,,,
whole milk,tropical fruit,margarine,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
domestic eggs,mayonnaise,coffee,,,,,,,,
ham,tropical fruit,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
misc. beverages,grapes,instant coffee,,,,,,,,
pork,other vegetables,curd,domestic eggs,domestic eggs,domestic eggs,,,,,
pastry,brown bread,whisky,,,,,,,,
coffee,napkins,,,,,,,,,
meat,citrus fruit,pip fruit,other vegetables,,,,,,,
light bulbs,pastry,domestic eggs,,,,,,,,
citrus fruit,liquor (appetizer),,,,,,,,,
bottled beer,long life bakery product,vinegar,pot plants,,,,,,,
frankfurter,bottled water,,,,,,,,,
tropical fruit,domestic eggs,,,,,,,,,
rolls/buns,liquor,curd,other vegetables,,,,,,,
berries,sliced cheese,,,,,,,,,
whole milk,sliced cheese,,,,,,,,,
butter,citrus fruit,brown bread,pork,shopping bags,hygiene articles,dessert,whole milk,,,
soda,shopping bags,,,,,,,,,
whole milk,ice cream,detergent,rolls/buns,,,,,,,
canned fish,root vegetables,,,,,,,,,
sausage,hamburger meat,white bread,,,,,,,,
chicken,chocolate,,,,,,,,,
soda,other vegetables,,,,,,,,,
citrus fruit,bottled water,specialty bar,,,,,,,,
tropical fruit,bottled water,pastry,flour,,,,,,,
yogurt,newspapers,,,,,,,,,
rolls/buns,berries,,,,,,,,,
chicken,tropical fruit,,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
artif. sweetener,salty snack,,,,,,,,,
sauces,rolls/buns,,,,,,,,,
whole milk,ice cream,,,,,,,,,
margarine,rolls/buns,root vegetables,,,,,,,,
whole milk,frozen vegetables,bottled beer,specialty cheese,chewing gum,,,,,,
other vegetables,candy,napkins,,,,,,,,
rolls/buns,soups,,,,,,,,,
butter milk,pickled vegetables,,,,,,,,,
detergent,soft cheese,,,,,,,,,
sausage,long life bakery product,,,,,,,,,
nuts/prunes,onions,,,,,,,,,
other vegetables,rolls/buns,bottled water,soda,,,,,,,
hamburger meat,frozen vegetables,cream cheese ,,,,,,,,
yogurt,other vegetables,whipped/sour cream,,,,,,,,
liquor,sugar,,,,,,,,,
candles,soda,,,,,,,,,
bottled beer,beverages,,,,,,,,,
tropical fruit,bottled water,,,,,,,,,
sparkling wine,female sanitary products,,,,,,,,,
coffee,pot plants,,,,,,,,,
chicken,cling film/bags,rolls/buns,,,,,,,,
sausage,fruit/vegetable juice,,,,,,,,,
rolls/buns,onions,butter,whole milk,rolls/buns,,,,,,
yogurt,salty snack,,,,,,,,,
sausage,bottled beer,,,,,,,,,
pip fruit,soda,,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
white bread,beverages,,,,,,,,,
yogurt,rolls/buns,fruit/vegetable juice,spices,canned fish,,,,,,
salty snack,newspapers,,,,,,,,,
meat,butter milk,tropical fruit,specialty bar,newspapers,rolls/buns,,,,,
berries,rolls/buns,,,,,,,,,
white bread,hygiene articles,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
onions,hamburger meat,,,,,,,,,
spices,cat food,seasonal products,,,,,,,,
other vegetables,whole milk,canned fruit,,,,,,,,
other vegetables,whole milk,bottled beer,,,,,,,,
frankfurter,whole milk,whole milk,,,,,,,,
soda,bottled beer,,,,,,,,,
beef,flour,,,,,,,,,
pork,sweet spreads,,,,,,,,,
margarine,rolls/buns,seasonal products,,,,,,,,
sausage,shopping bags,soda,butter,dessert,soda,,,,,
whole milk,grapes,root vegetables,shopping bags,,,,,,,
other vegetables,dessert,,,,,,,,,
packaged fruit/vegetables,specialty bar,,,,,,,,,
ham,whole milk,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
cream cheese ,rolls/buns,,,,,,,,,
pastry,other vegetables,other vegetables,butter milk,,,,,,,
sausage,other vegetables,,,,,,,,,
white wine,waffles,,,,,,,,,
other vegetables,hard cheese,,,,,,,,,
root vegetables,rum,,,,,,,,,
soda,chocolate,,,,,,,,,
brown bread,detergent,,,,,,,,,
citrus fruit,oil,specialty chocolate,,,,,,,,
pork,specialty chocolate,,,,,,,,,
other vegetables,soda,,,,,,,,,
bottled water,long life bakery product,rolls/buns,,,,,,,,
whole milk,berries,,,,,,,,,
rolls/buns,brandy,,,,,,,,,
canned beer,whole milk,,,,,,,,,
pork,yogurt,,,,,,,,,
tropical fruit,salt,,,,,,,,,
soda,soda,domestic eggs,,,,,,,,
pot plants,coffee,rolls/buns,hard cheese,,,,,,,
chicken,root vegetables,,,,,,,,,
sausage,meat,tropical fruit,butter,,,,,,,
beef,long life bakery product,berries,candles,,,,,,,
onions,brown bread,canned vegetables,canned beer,,,,,,,
rolls/buns,yogurt,napkins,yogurt,candy,sliced cheese,,,,,
instant coffee,newspapers,hard cheese,salty snack,,,,,,,
coffee,rolls/buns,other vegetables,,,,,,,,
whole milk,softener,sliced cheese,,,,,,,,
liquor (appetizer),whole milk,,,,,,,,,
rolls/buns,bottled beer,coffee,pastry,brown bread,brown bread,napkins,napkins,,,
rolls/buns,packaged fruit/vegetables,,,,,,,,,
root vegetables,whipped/sour cream,,,,,,,,,
pastry,frankfurter,long life bakery product,whipped/sour cream,,,,,,,
root vegetables,frozen vegetables,misc. beverages,,,,,,,,
canned beer,tropical fruit,pet care,,,,,,,,
butter,specialty chocolate,frozen meals,,,,,,,,
fruit/vegetable juice,root vegetables,,,,,,,,,
newspapers,pip fruit,dishes,,,,,,,,
ice cream,butter,,,,,,,,,
misc. beverages,margarine,,,,,,,,,
berries,pip fruit,,,,,,,,,
brandy,specialty bar,chocolate,,,,,,,,
citrus fruit,soda,,,,,,,,,
whole milk,hamburger meat,beverages,bottled water,,,,,,,
dental care,soda,,,,,,,,,
whole milk,root vegetables,rolls/buns,yogurt,onions,coffee,napkins,UHT-milk,,,
photo/film,other vegetables,,,,,,,,,
root vegetables,hard cheese,,,,,,,,,
whole milk,soda,,,,,,,,,
bottled beer,whole milk,bottled water,,,,,,,,
rolls/buns,bottled beer,misc. beverages,salt,,,,,,,
soda,hygiene articles,,,,,,,,,
butter,citrus fruit,,,,,,,,,
beef,curd,,,,,,,,,
curd,long life bakery product,,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
dessert,root vegetables,,,,,,,,,
frankfurter,curd,,,,,,,,,
whole milk,red/blush wine,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
other vegetables,soda,pickled vegetables,,,,,,,,
sausage,other vegetables,citrus fruit,curd,red/blush wine,dessert,specialty chocolate,white bread,pastry,,
bottled beer,pip fruit,butter,specialty bar,detergent,specialty bar,,,,,
tropical fruit,yogurt,,,,,,,,,
rolls/buns,coffee,,,,,,,,,
salty snack,other vegetables,,,,,,,,,
rolls/buns,whole milk,white bread,popcorn,,,,,,,
salty snack,rolls/buns,butter,tropical fruit,pastry,root vegetables,fruit/vegetable juice,semi-finished bread,,,
whole milk,turkey,long life bakery product,,,,,,,,
fruit/vegetable juice,dessert,,,,,,,,,
white wine,Instant food products,,,,,,,,,
whole milk,pastry,chewing gum,shopping bags,,,,,,,
salty snack,kitchen towels,,,,,,,,,
soda,pastry,frozen vegetables,UHT-milk,,,,,,,
whole milk,softener,domestic eggs,soda,,,,,,,
liver loaf,domestic eggs,,,,,,,,,
pastry,vinegar,salty snack,,,,,,,,
canned beer,rolls/buns,rolls/buns,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
bottled water,newspapers,specialty bar,bottled water,,,,,,,
honey,salty snack,,,,,,,,,
tropical fruit,sausage,bottled beer,curd,misc. beverages,waffles,fruit/vegetable juice,mayonnaise,,,
citrus fruit,yogurt,,,,,,,,,
butter milk,whole milk,,,,,,,,,
beverages,bottled water,,,,,,,,,
tropical fruit,specialty bar,,,,,,,,,
long life bakery product,semi-finished bread,,,,,,,,,
nuts/prunes,whole milk,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
soda,bottled beer,brown bread,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
ham,whole milk,shopping bags,,,,,,,,
shopping bags,detergent,,,,,,,,,
pork,hamburger meat,,,,,,,,,
rolls/buns,whole milk,semi-finished bread,processed cheese,,,,,,,
canned beer,citrus fruit,,,,,,,,,
condensed milk,rolls/buns,,,,,,,,,
frankfurter,UHT-milk,,,,,,,,,
pip fruit,pastry,,,,,,,,,
specialty bar,misc. beverages,,,,,,,,,
soda,other vegetables,,,,,,,,,
tropical fruit,fish,,,,,,,,,
specialty bar,candy,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
domestic eggs,pastry,,,,,,,,,
bottled beer,pastry,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
packaged fruit/vegetables,yogurt,,,,,,,,,
pork,hygiene articles,,,,,,,,,
canned fish,butter,pot plants,,,,,,,,
finished products,flower (seeds),,,,,,,,,
brown bread,other vegetables,,,,,,,,,
soda,pasta,curd cheese,,,,,,,,
curd,red/blush wine,,,,,,,,,
napkins,fruit/vegetable juice,,,,,,,,,
coffee,bottled water,chocolate,,,,,,,,
soda,red/blush wine,root vegetables,butter milk,,,,,,,
sweet spreads,margarine,,,,,,,,,
dessert,meat,,,,,,,,,
grapes,cream cheese ,,,,,,,,,
frozen vegetables,whole milk,,,,,,,,,
beverages,chocolate marshmallow,,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
UHT-milk,citrus fruit,frozen vegetables,,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
tropical fruit,frozen fish,domestic eggs,mustard,,,,,,,
specialty chocolate,domestic eggs,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
other vegetables,butter,,,,,,,,,
brown bread,pet care,,,,,,,,,
other vegetables,sausage,white bread,soda,,,,,,,
margarine,margarine,,,,,,,,,
pip fruit,root vegetables,pip fruit,spread cheese,,,,,,,
sausage,specialty chocolate,,,,,,,,,
vinegar,whole milk,,,,,,,,,
flower (seeds),flower (seeds),,,,,,,,,
whole milk,beverages,,,,,,,,,
meat,other vegetables,,,,,,,,,
other vegetables,whole milk,soups,shopping bags,,,,,,,
hamburger meat,citrus fruit,whole milk,specialty bar,,,,,,,
UHT-milk,fruit/vegetable juice,,,,,,,,,
soda,chewing gum,rolls/buns,flour,,,,,,,
citrus fruit,bottled water,,,,,,,,,
ham,soda,specialty chocolate,,,,,,,,
whole milk,flour,,,,,,,,,
candy,domestic eggs,,,,,,,,,
seasonal products,dishes,shopping bags,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
shopping bags,rolls/buns,,,,,,,,,
ice cream,newspapers,,,,,,,,,
rolls/buns,root vegetables,domestic eggs,ice cream,,,,,,,
tropical fruit,grapes,,,,,,,,,
ham,whole milk,,,,,,,,,
citrus fruit,sauces,,,,,,,,,
turkey,curd,sugar,,,,,,,,
soda,domestic eggs,,,,,,,,,
chicken,frozen vegetables,,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
citrus fruit,newspapers,,,,,,,,,
chocolate marshmallow,bottled water,,,,,,,,,
sausage,other vegetables,rolls/buns,,,,,,,,
sausage,whole milk,pastry,whole milk,,,,,,,
whole milk,whipped/sour cream,newspapers,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
frankfurter,butter milk,,,,,,,,,
pork,pip fruit,,,,,,,,,
cat food,male cosmetics,,,,,,,,,
sausage,bottled water,,,,,,,,,
canned beer,bottled water,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
sausage,chocolate,,,,,,,,,
bottled beer,rolls/buns,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
photo/film,bottled water,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
dessert,rice,,,,,,,,,
whole milk,domestic eggs,chocolate marshmallow,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
ice cream,bottled water,,,,,,,,,
ham,domestic eggs,,,,,,,,,
pork,canned beer,whole milk,rolls/buns,,,,,,,
curd,sausage,margarine,long life bakery product,,,,,,,
whole milk,pasta,,,,,,,,,
cream cheese ,shopping bags,,,,,,,,,
citrus fruit,shopping bags,domestic eggs,,,,,,,,
margarine,beverages,,,,,,,,,
chicken,bottled water,brown bread,hygiene articles,,,,,,,
sugar,kitchen towels,,,,,,,,,
female sanitary products,frozen fish,,,,,,,,,
rolls/buns,oil,,,,,,,,,
beef,grapes,,,,,,,,,
other vegetables,coffee,,,,,,,,,
pork,curd,curd cheese,misc. beverages,,,,,,,
sausage,yogurt,,,,,,,,,
long life bakery product,bottled beer,,,,,,,,,
whole milk,long life bakery product,,,,,,,,,
whole milk,dish cleaner,,,,,,,,,
sausage,root vegetables,,,,,,,,,
canned beer,rolls/buns,berries,domestic eggs,,,,,,,
bottled beer,nut snack,,,,,,,,,
brown bread,napkins,,,,,,,,,
whole milk,coffee,,,,,,,,,
sausage,tropical fruit,rolls/buns,,,,,,,,
margarine,UHT-milk,brown bread,,,,,,,,
sausage,bottled beer,,,,,,,,,
margarine,pickled vegetables,,,,,,,,,
rolls/buns,domestic eggs,napkins,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
rolls/buns,oil,,,,,,,,,
whipped/sour cream,hard cheese,,,,,,,,,
pork,root vegetables,,,,,,,,,
soda,newspapers,,,,,,,,,
pork,newspapers,root vegetables,,,,,,,,
tropical fruit,pip fruit,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
chicken,pip fruit,,,,,,,,,
ham,rolls/buns,tropical fruit,rolls/buns,,,,,,,
organic sausage,whipped/sour cream,,,,,,,,,
curd,salty snack,,,,,,,,,
herbs,chewing gum,,,,,,,,,
tropical fruit,herbs,chocolate,,,,,,,,
misc. beverages,whole milk,,,,,,,,,
frozen vegetables,yogurt,pot plants,,,,,,,,
fruit/vegetable juice,canned vegetables,,,,,,,,,
other vegetables,red/blush wine,rolls/buns,frozen vegetables,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
cream cheese ,salt,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
bottled water,other vegetables,pastry,rolls/buns,domestic eggs,,,,,,
whole milk,whole milk,,,,,,,,,
whole milk,frozen dessert,popcorn,,,,,,,,
pickled vegetables,pastry,brown bread,sugar,,,,,,,
sausage,whipped/sour cream,waffles,,,,,,,,
pastry,pip fruit,,,,,,,,,
long life bakery product,bottled beer,,,,,,,,,
other vegetables,spread cheese,,,,,,,,,
beef,tea,,,,,,,,,
citrus fruit,citrus fruit,,,,,,,,,
whole milk,skin care,,,,,,,,,
detergent,ice cream,hamburger meat,soda,sugar,,,,,,
specialty bar,specialty chocolate,,,,,,,,,
tropical fruit,yogurt,curd,margarine,,,,,,,
whole milk,yogurt,shopping bags,,,,,,,,
sausage,pork,pip fruit,other vegetables,hard cheese,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
curd,pip fruit,,,,,,,,,
whole milk,shopping bags,curd,,,,,,,,
dessert,semi-finished bread,,,,,,,,,
tropical fruit,pastry,margarine,,,,,,,,
bottled beer,candy,,,,,,,,,
napkins,citrus fruit,,,,,,,,,
chicken,nuts/prunes,,,,,,,,,
newspapers,tropical fruit,,,,,,,,,
yogurt,soda,frozen fish,,,,,,,,
soda,newspapers,,,,,,,,,
newspapers,cream,,,,,,,,,
rolls/buns,soda,other vegetables,vinegar,,,,,,,
packaged fruit/vegetables,house keeping products,,,,,,,,,
tropical fruit,grapes,,,,,,,,,
rolls/buns,curd,,,,,,,,,
whole milk,coffee,,,,,,,,,
pastry,margarine,pastry,pastry,,,,,,,
butter,rolls/buns,,,,,,,,,
salty snack,citrus fruit,yogurt,berries,,,,,,,
curd,yogurt,,,,,,,,,
citrus fruit,citrus fruit,other vegetables,whole milk,,,,,,,
root vegetables,root vegetables,,,,,,,,,
chicken,whole milk,,,,,,,,,
sausage,whole milk,root vegetables,soft cheese,,,,,,,
soda,canned vegetables,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
beef,citrus fruit,,,,,,,,,
whole milk,soda,,,,,,,,,
fruit/vegetable juice,other vegetables,,,,,,,,,
beef,whole milk,,,,,,,,,
pip fruit,pastry,,,,,,,,,
rolls/buns,root vegetables,yogurt,,,,,,,,
tropical fruit,pork,soda,onions,,,,,,,
pip fruit,white bread,margarine,baking powder,,,,,,,
grapes,whole milk,,,,,,,,,
root vegetables,frozen meals,,,,,,,,,
frankfurter,berries,bottled water,processed cheese,pickled vegetables,,,,,,
rolls/buns,tropical fruit,root vegetables,condensed milk,,,,,,,
citrus fruit,grapes,,,,,,,,,
rolls/buns,frozen vegetables,pot plants,pastry,,,,,,,
canned beer,brown bread,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
whole milk,shopping bags,specialty bar,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
other vegetables,onions,,,,,,,,,
pip fruit,curd,,,,,,,,,
soda,whole milk,newspapers,coffee,,,,,,,
bottled beer,sugar,bottled water,,,,,,,,
whole milk,soda,,,,,,,,,
ice cream,pork,,,,,,,,,
tropical fruit,pastry,cream cheese ,,,,,,,,
brown bread,fruit/vegetable juice,,,,,,,,,
whipped/sour cream,pastry,,,,,,,,,
hygiene articles,dessert,,,,,,,,,
ham,pork,pork,soda,,,,,,,
whole milk,pip fruit,pip fruit,fruit/vegetable juice,,,,,,,
whole milk,fruit/vegetable juice,rolls/buns,,,,,,,,
other vegetables,salty snack,,,,,,,,,
curd,soda,,,,,,,,,
brown bread,hygiene articles,shopping bags,,,,,,,,
pastry,rolls/buns,,,,,,,,,
pork,other vegetables,yogurt,white bread,,,,,,,
beef,candles,,,,,,,,,
pastry,liquor (appetizer),sliced cheese,,,,,,,,
baking powder,yogurt,,,,,,,,,
herbs,pork,sugar,hard cheese,long life bakery product,,,,,,
citrus fruit,pastry,salt,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
